[2026-02-20 07:19:52] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:25:09] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:25:09] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:25:53] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:25:53] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:25:53] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:25:53] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:25:53] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:25:53] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:26:25] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:26:25] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:26:25] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:26:25] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:26:25] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:26:25] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:27:02] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:27:02] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:27:02] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:27:02] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:27:02] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:27:02] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:27:29] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:27:29] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:27:29] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:27:29] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:27:29] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:27:29] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:27:48] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:27:48] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:27:48] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:27:48] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:27:48] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:27:48] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:28:22] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:28:22] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:28:22] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:28:22] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:28:22] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:28:22] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:28:43] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:28:43] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:28:43] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:28:43] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:28:43] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:28:43] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:31:38] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:31:38] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:31:38] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:31:38] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:31:38] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:31:38] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:33:55] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:33:55] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:33:55] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:33:55] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:33:55] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:33:55] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:34:37] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:34:37] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:34:37] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:34:37] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:34:37] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:34:37] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:35:15] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:35:15] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:35:15] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:35:15] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:35:15] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:35:15] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:35:53] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:35:53] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:35:53] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:35:53] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:35:53] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:35:53] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:09:41] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:09:41] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:09:41] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:09:41] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:09:41] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:09:41] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:29:04] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:29:04] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:29:04] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:29:04] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:29:04] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:29:04] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:37:39] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:37:39] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:37:39] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:37:39] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:37:39] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:37:39] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:39:20] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:39:20] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:39:20] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:39:20] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:39:20] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:39:20] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 14:41:09] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 14:41:09] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 14:41:09] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 14:41:09] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 14:41:09] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 14:41:09] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 15:16:20] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 15:16:20] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 15:16:20] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 15:16:20] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 15:16:20] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 15:16:20] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 15:51:41] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 15:51:41] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 15:51:41] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 15:51:41] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 15:51:41] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 15:51:41] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:00:42] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:00:42] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:00:42] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:00:42] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:00:42] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:00:42] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:00:58] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:00:58] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:00:58] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:00:58] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:00:58] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:00:58] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:01:10] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:01:10] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:01:10] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:01:10] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:01:10] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:01:10] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:01:23] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:01:23] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:01:23] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:01:23] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:01:23] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:01:23] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:01:31] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:01:31] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:01:31] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:01:31] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:01:31] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:01:31] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:02:24] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:02:24] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:02:24] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:02:24] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:02:24] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:02:24] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:03:23] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:03:23] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:03:23] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:03:23] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:03:23] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:03:23] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:05:12] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:05:12] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:05:12] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:05:12] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:05:12] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:05:12] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 16:20:33] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 16:20:33] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 16:20:33] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 16:20:33] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 16:20:33] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 16:20:33] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 18:02:36] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 18:02:36] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 18:02:36] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 18:02:36] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 18:02:36] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 18:02:36] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 18:04:16] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 18:04:16] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 18:04:16] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 18:04:16] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 18:04:16] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 18:04:16] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 18:05:55] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 18:05:55] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 18:05:55] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 18:05:55] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 18:05:55] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 18:05:55] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 18:06:14] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 18:06:14] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 18:06:14] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 18:06:14] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 18:06:14] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 18:06:14] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 19:10:34] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 19:10:34] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 19:10:34] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 19:10:34] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 19:10:34] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 19:10:34] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-21 04:18:04] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-21 04:18:04] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-21 04:18:04] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-21 04:18:04] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-21 04:18:04] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-21 04:18:04] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-21 04:22:28] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-21 04:22:28] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-21 04:22:28] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
